,0,1,2,3,4
VSTD_1M,-0.07012116873167817,0.02461478164774333,0.08878816788358779,0.13957081928356566,0.17988226672287255
IVFF3_1M,-0.061416067028765335,0.05690848561582795,0.10342154147739024,0.13116256820234762,0.12802983065250406
Ret21,-0.05217807027057941,0.07172806468327075,0.09665220427134336,0.11110855903128324,0.12813536684165938
MaxRet21,-0.04927602609268822,0.0768610791205544,0.10572697766967833,0.1372061343103137,0.08720422921919613
VSTD_3M,-0.04824922954077426,0.02613094786990855,0.09169724819304226,0.12386137832861666,0.16459516713560318
STD_1M_Excess,-0.0469652976407281,0.07506163200800975,0.11452454100363395,0.11734479127241748,0.0958722068837623
VSTD_6M,-0.034223736604177435,0.028081952863732832,0.09229879658857798,0.12678093670062407,0.1420519116691905
TurnOver_1M,-0.030496899419975017,0.06601872496152916,0.09436282613430792,0.11524240177310086,0.10531292691915617
IVFF3_3M,-0.027236961395186717,0.04906269570171928,0.08596822858789377,0.12047678289705654,0.12413456935552912
STD_1M,-0.01778574054106741,0.0814927821647411,0.111384904383925,0.10298429887829386,0.07295436658268506
Ret63,-0.01713608073669437,0.055677830781264426,0.08896410954241518,0.10256346088701228,0.12124327883901233
GrossProfitMargin,-0.01692987701094162,-0.02209652816373786,-0.035052404494372864,-0.045370305625462966,-0.05716732802632363
STD_3M_Excess,-0.013890854686888663,0.06317335687984492,0.09745025456897173,0.10314259509641133,0.10104634859521198
STD_3M,-0.012384155797095064,0.07213118940860053,0.09197002419249699,0.10303452905362942,0.09439874389022472
STD_1Y,-0.0023390165705404753,0.06420455745452336,0.08528805800027395,0.10278485659088266,0.09790564688186444
STD_6M,-0.0010319637301638984,0.06455600630267311,0.09512805094889344,0.09621227982495406,0.09360243967615567
TurnOver_3M,0.002433890366568159,0.06168402933373041,0.08585627060995438,0.09447884250954997,0.1017700126755885
ResVol,0.0034277772784017113,0.06841980304904527,0.08281735764726883,0.0990648183571523,0.09043157551165693
STD_6M_Excess,0.004711773723965029,0.06446459483308864,0.08765921025419042,0.09965180928151153,0.09170396627126888
STD_1Y_Excess,0.004725498077181145,0.06347633084210824,0.09048362661624497,0.09556114217743694,0.09060994679935974
LnTotalMV,0.011265494836684152,0.015524326712640812,0.03738609804814641,0.08141105913656244,0.20983326865934093
TurnOver_6M,0.016629922900823102,0.06438741528849112,0.07498021417861356,0.09252876545748334,0.09661188959513267
TotalMVNL,0.01695426028406688,0.013183984817049854,0.03863524016142872,0.08543567439336974,0.20474689212274444
NegotiableMV,0.019391097680971248,0.04132877591205797,0.11859280564662765,0.1290176423007583,0.04117027051714861
Ret126,0.02269182629668554,0.06699532910880747,0.0950430637597648,0.08414747796929034,0.07886838750841862
HighLow_1M,0.0241149681977193,0.07967480550686301,0.09773042519248754,0.08761037800855133,0.0592054641526012
TurnOver_1Y,0.03272144637805918,0.05852251740356329,0.07886777573708326,0.07972856407602635,0.09293520489300013
GGrossProfitMarginQ,0.035809581348683166,0.022396288408452536,0.006826399669174643,-0.004196204081379773,-0.018086229995006087
BLEV,0.03648415580383757,0.05771784807236791,0.0697662185325072,0.08766473435598532,0.09703800480475366
MLEV,0.046039767581454116,0.055287784642664935,0.0711387973333455,0.10952679260059273,0.057658584675455586
Beta252,0.0470974987008348,0.07647467416243181,0.09029421118871928,0.07832032634524255,0.05342724531173504
MinRet21,0.04745941137887444,0.07504321177164153,0.08314942853755447,0.09218383159286447,0.050636142503919464
Ret252_21,0.05206010947673345,0.07899422093796415,0.09381728893845608,0.07819607080879498,0.04513294190022399
HighLow_3M,0.055792210597688234,0.07662635370436433,0.08169139285099347,0.06936942749394537,0.06289559371099274
DTOA,0.05656740375216085,0.05199594160819632,0.07433206797175762,0.07851034386256828,0.08762602131007569
HighLow_6M,0.05872030391960493,0.06854914646295995,0.07231442494135187,0.08078452571781948,0.0658207992411779
EPTTM,0.06938931484028799,0.09114536866153357,0.09128713805702016,0.0706004292389455,0.0314822096823375
SPTTM,0.072493209702992,0.07834832574484762,0.07266482731712443,0.06844542205638726,0.055683410750621436
NetProfitCashCover,0.07575245322039037,0.0825164856543037,0.06817325623533478,0.04203761816657847,0.0827999118244136
IMFFFactorNoAlpha,0.07659605041451645,0.06038056191377361,0.07571467612848037,0.07152008630085782,0.06650637803645365
AssetsTurn,0.07802536296211326,0.07992593590949992,0.07442147370851226,0.07236198043081178,0.04808338033420423
BP,0.07914327762776563,0.08144336616429082,0.08711700514018507,0.061802524607986735,0.03273212660793656
NCFPTTM,0.08007858776632347,0.07195963142345096,0.06489922847340734,0.0675886102320451,0.050523128773037884
OCFPTTM,0.08399412714804687,0.0881611663972528,0.0879494232268252,0.07087751113023266,0.042347594333608914
ROA,0.08756836420973801,0.08929200714869112,0.0635608562470591,0.059637638138578815,0.05108665030953263
CurrentRatio,0.08839155388570563,0.07952022083510601,0.07704623133591904,0.05495374616095061,0.049587506817920346
TotalMV,0.09069880495982163,0.04800203732158504,0.0424599169137585,0.07355851708757832,0.09123727711811293
DividendRatioTTM,0.09206223160825287,0.0682300523721957,0.07705492551019777,0.1031325786636601,0.012715287045726777
NetOperateCashFlowQYOY,0.0935088458778166,0.0882935597843264,0.0834197705452342,0.05395448810567771,0.03711545820474593
CFO,0.09408323098742444,0.07533919665576838,0.055147825460740714,0.05418036226370404,0.0746003432852076
ROE_Diluted,0.09567016409062612,0.0862972161564084,0.06990299975333181,0.06428670960904402,0.05318208445264117
GPOA,0.1039703652473647,0.0923842698927575,0.06850306244357385,0.04980240661209434,0.036131022970336435
