,0,1,2,3,4
VSTD_1M,-0.24260549443202756,0.0826730849584936,0.29397729110749343,0.4556382786130924,0.6089918654570359
IVFF3_1M,-0.19217244018425628,0.188021211109626,0.35269246022958706,0.4560083764743738,0.4665881344616281
Ret21,-0.17549583432823546,0.24724471627891706,0.3302116554437705,0.3790029526819607,0.4079132942945535
VSTD_3M,-0.16553398718688642,0.0885112215836427,0.3016290930949184,0.4065553818208613,0.5577781880205775
MaxRet21,-0.16010554967228932,0.2497740995748409,0.3498729976588629,0.4739744158151926,0.31973710321942034
STD_1M_Excess,-0.1418969085894584,0.2408157855410401,0.3909664809627295,0.4097412586261072,0.3663863891679252
VSTD_6M,-0.11851534617558875,0.0938379487852078,0.3036800636378661,0.4142066064536467,0.4853095518430859
TurnOver_1M,-0.08968438298625972,0.20904479891214933,0.3185981318127728,0.4132702422411348,0.4172851215780695
IVFF3_3M,-0.08216284531828734,0.16276248385116934,0.2925381748237568,0.4225012416026567,0.4650368419105081
GrossProfitMargin,-0.05840417581566267,-0.07594969053083778,-0.12094959481346346,-0.15904519265837178,-0.20590846751863398
Ret63,-0.05788111359911007,0.19256997118007235,0.3066222938343459,0.3450869680258041,0.3849602279182287
STD_1M,-0.052949415856894284,0.26083895188382605,0.3750714274116483,0.3645967629071957,0.28501584863782625
STD_3M_Excess,-0.0402605140838901,0.2048188706879205,0.3305123659086941,0.3669807035290207,0.3946844723308529
STD_3M,-0.03573342182599618,0.23233641499102006,0.30950958943100315,0.3715498372554533,0.3732248314935735
STD_1Y,-0.006652503608201562,0.20569067191773754,0.29069305846548993,0.3714058406559871,0.3888606540406876
STD_6M,-0.002975333383219188,0.20727681941166265,0.3228247941676077,0.34928995941551144,0.36591965094193546
TurnOver_3M,0.007056188348576131,0.1960711565328672,0.28755646324540723,0.33945598296397034,0.40947952550610894
ResVol,0.00968123335047955,0.21978899489245024,0.2834344583852906,0.3570001165577187,0.35720721881569834
STD_1Y_Excess,0.013216817009121057,0.20219083297335785,0.3079256235353233,0.34455515866302683,0.3636745349222061
STD_6M_Excess,0.0133291697112574,0.20834734439184305,0.2964515659713581,0.3572407917840564,0.36646441208392494
LnTotalMV,0.04501241898233791,0.054022443368492615,0.12188575773165365,0.2581865690763624,0.6370150152212204
TurnOver_6M,0.04821978287491123,0.20400677677717846,0.2532216447120061,0.3287116734898154,0.3905773724073132
TotalMVNL,0.06295956862374175,0.046414345872936295,0.1294250249914941,0.2772320818797083,0.6434685429573852
HighLow_1M,0.07472872250952373,0.2574650673302346,0.3273718224841495,0.3068448910894902,0.2208234140737839
NegotiableMV,0.07527187663657907,0.14008396533501166,0.38285970324000096,0.39604043611957146,0.13638273231500975
Ret126,0.07574590625924764,0.23146730046263725,0.3257976673796087,0.2875411783891122,0.2513355208066137
TurnOver_1Y,0.09465105536098968,0.18639881925950647,0.2635644284397873,0.2848413525435711,0.3729587794063735
GGrossProfitMarginQ,0.11465594956010455,0.07459766903169639,0.022590589239725654,-0.013768819751033131,-0.0579444416758941
BLEV,0.13101494631838778,0.20185785751782706,0.2341665118884084,0.2861019775639185,0.30623426918867785
Beta252,0.13997893406220174,0.24613246540516204,0.3048497850339159,0.27924851761332026,0.2077919136620674
HighLow_3M,0.16544271985971284,0.24575901497368136,0.277259086463706,0.2461259023938505,0.24366885015973774
Ret252_21,0.16624475023150306,0.2737138619741515,0.32514378900531465,0.266855143119443,0.14994017617545335
MLEV,0.1663717400364375,0.188989322972888,0.23472249179199606,0.34211188379415663,0.19371589745626933
HighLow_6M,0.17204141565655412,0.2219393871309124,0.2453389743462935,0.28925537306197546,0.252900799785912
MinRet21,0.1843752434178934,0.26418439019072915,0.2733221101888835,0.29242179463766965,0.15789706236982634
DTOA,0.20076350408927984,0.1820349441534848,0.2539949343595874,0.2582156325395716,0.27456902740948
IMFFFactorNoAlpha,0.2602395113622141,0.2013459940955525,0.2580873666824117,0.2439665994927308,0.23095154475399274
NetProfitCashCover,0.2609072939907716,0.2944529897439039,0.2386159479626767,0.135346706386145,0.2682665472253443
EPTTM,0.26337455555485256,0.3210349654905736,0.30422360155756106,0.22249973399822331,0.0980776232837673
SPTTM,0.2687558970239142,0.2749628225905209,0.2449240819943292,0.21798391284206572,0.17280997393441672
CurrentRatio,0.2733023750403341,0.2647757988780138,0.26394641277676195,0.19150863796700887,0.17783710144237316
NCFPTTM,0.27885599491247104,0.2499392563193258,0.21949327429863244,0.231212406059232,0.1774884134459347
AssetsTurn,0.28487079398886034,0.27622721173328746,0.2462552287909796,0.2379346586166945,0.1602206776072569
BP,0.29247178789766354,0.27678507529456203,0.2890429268863233,0.19803236204537372,0.10400006780542548
TotalMV,0.2988737985490465,0.16047915408037475,0.14149741583938466,0.2402537594916695,0.3193767785650358
NetOperateCashFlowQYOY,0.31508282830165274,0.3008724636977125,0.2912696929355165,0.1865283394822771,0.12335562123566265
OCFPTTM,0.3196111636529093,0.3153711985010767,0.2981085816024546,0.2265694221903075,0.1365068379908949
ROA,0.32109017650154265,0.3022921142404448,0.21217194326864852,0.2003638294159837,0.16451655140628665
CFO,0.3503666844536333,0.2643001006233488,0.18534256473552269,0.17933037990984216,0.2372279780435841
DividendRatioTTM,0.35355875246365537,0.23805269171596,0.25281915871430755,0.3190830009021163,0.04242426808866818
ROE_Diluted,0.36124414499292,0.297499200715838,0.22791894457103806,0.20893722768340406,0.17205994042754738
GPOA,0.3718602116623778,0.29960349806265346,0.2276300676052516,0.1684490229530829,0.12269855604912708
