,codes,sec_name,SEO_class,wind_class,sw_class,zx_class
56,600068.SH,葛洲坝,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-水利工程,建筑--建筑施工--基建建设
57,600072.SH,中船科技,建筑业-土木工程建筑业,工业--资本货物--机械--建筑机械与重型卡车,,
58,600133.SH,东湖高新,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-其他基础建设,
59,600170.SH,上海建工,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--房建建设
60,600193.SH,ST创兴,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
61,600209.SH,ST罗顿,建筑业-建筑装饰和其他建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑--建筑装修Ⅱ--建筑装修Ⅲ
62,600248.SH,延长化建,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-专业工程-化学工程,建筑--建筑施工--专业工程及其他
63,600284.SH,浦东建设,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
64,600463.SH,空港股份,建筑业-土木工程建筑业,,,
65,600491.SH,龙元建设,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,建筑--建筑施工--房建建设
66,600502.SH,安徽建工,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-水利工程,建筑--建筑施工--基建建设
67,600512.SH,腾达建设,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-基础建设-路桥施工,建筑--建筑施工--基建建设
68,600769.SH,祥龙电业,建筑业-土木工程建筑业,工业--资本货物--建筑与工程Ⅲ--建筑与工程,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,
